firstName,lastName,email,birthday,homePhone,workPhone,customerType
Karlee,Wisoky,,Wed Nov 23 2016 08:32:11 GMT-0500 (EST),,(453) 873-0918 x584,regular
Mia,Robel,Graham38@fakeyahoo.com,Mon Mar 06 2017 07:37:00 GMT-0500 (EST),(918) 551-2653 x5443,574-681-3661 x625,
Shyann,Waelchi,Lamont_Collins46@fakeyahoo.com,,1-278-032-9051 x92390,,regular
Twila,Marvin,,Fri Apr 07 2017 09:28:12 GMT-0400 (EDT),,(889) 174-0069,regular
Jayde,Monahan,%3CMaurine65@fakeyahoo.com%3E,,046-498-3304,,customer
Donna,Kshlerin,Sammy96@fakehotmail.com,Sat Jul 09 2016 06:54:33 GMT-0400 (EDT),,129.363.7432,customer
,,Albina63@fakeyahoo.com,,(136) 522-8569 x675,042.498.2378 x222,customer
Elnora,,,Thu Sep 29 2016 04:49:28 GMT-0400 (EDT),,159.221.1987 x73647,customer
Willow,Strosin,Kara73@fakegmail.com,,(112) 630-2948 x3394,073-457-7848 x0193,regular
Nikita,Rogahn,&lt;Vicky78@fakeyahoo.com&gt;,Thu Apr 13 2017 13:56:21 GMT-0400 (EDT),1-771-647-6251 x42010,736.657.1783 x7390,vip
,,Laila_Pouros@fakegmail.com,,576-953-2720,937-457-3557 x0787,customer
Mohammed,Keebler,Deondre43@fakeyahoo.com,Mon Oct 31 2016 20:14:01 GMT-0400 (EDT),447.823.8814 x3292,1-270-033-1182 x98301,
Tatum,Mueller,Abdiel.Walker65@fakeyahoo.com,Sat Dec 24 2016 13:45:36 GMT-0500 (EST),,(708) 614-7467,regular
,,Nicholaus_Pfannerstill78@fakegmail.com,,(361) 883-9901,(386) 185-8049 x9156,vip
,,Shaniya_Cartwright24@fakehotmail.com,,(322) 692-0378,1-407-474-8793,customer
Estrella,McCullough,Jaleel.Torphy37@fakegmail.com,Fri Aug 05 2016 12:25:50 GMT-0400 (EDT),1-066-073-1732,132.201.8531 x90431,
Maximo,Cartwright,Abbigail.Durgan8@fakegmail.com,Fri Apr 29 2016 22:02:04 GMT-0400 (EDT),088.493.1972,403-725-2909,vip
Gunner,Leannon,Guillermo_VonRueden88@fakeyahoo.com,Mon Jan 02 2017 07:25:56 GMT-0500 (EST),(193) 271-9250 x46302,126-816-7467 x06820,
Henderson,Mertz,Curt82@fakehotmail.com,Fri Jul 22 2016 14:31:09 GMT-0400 (EDT),689.479.9691,1-782-613-5288 x3464,customer
Devante,Mitchell,,,(489) 032-2934,,vip
Deon,Abernathy,Santino42@fakegmail.com,Fri Oct 28 2016 02:10:35 GMT-0400 (EDT),682-232-3021 x770,183.280.3820,
Woodrow,Towne,Roderick44@fakehotmail.com,Wed Mar 29 2017 16:25:00 GMT-0400 (EDT),808.311.5585 x2449,896-049-9421 x755,customer
Patsy,Kreiger,,Sat Sep 17 2016 09:46:16 GMT-0400 (EDT),993.929.5755 x144,,regular
Matilde,,Kevin.Lesch@fakegmail.com,Sun Apr 02 2017 11:41:08 GMT-0400 (EDT),790-710-7730 x961,115-622-4873,customer
Nathen,Jaskolski,,Sat Feb 18 2017 20:27:36 GMT-0500 (EST),489-738-4357 x4300,142-107-7587 x314,
Cheyanne,Little,Loy.Hickle86@fakeyahoo.com,Wed Mar 15 2017 02:03:45 GMT-0400 (EDT),(846) 019-1673,283.073.0462,
Elouise,Fisher,Theron56@fakeyahoo.com,Fri Feb 24 2017 09:16:51 GMT-0500 (EST),(830) 702-0201,(082) 669-9735,regular
Howard,Schimmel,Nathanael_Hintz31@fakegmail.com,,(915) 545-8935 x8426,,vip
Howard,Stokes,Ole31@fakegmail.com,Fri Nov 11 2016 15:41:15 GMT-0500 (EST),(057) 560-2155 x59381,,vip
Ezra,Harber,Brooklyn.Kautzer@fakehotmail.com,Thu Sep 08 2016 10:43:22 GMT-0400 (EDT),458.572.3320,1-411-688-0873 x879,
Rodrigo,Marquardt,Blanca4@fakeyahoo.com,Mon Sep 19 2016 09:21:35 GMT-0400 (EDT),(730) 144-2178 x273,421.784.5549 x1027,
Erwin,Murphy,Troy_Schiller84@fakeyahoo.com,,308.309.6034,,customer
Queenie,Johnston,Colton_Stroman@fakehotmail.com,Sun Sep 18 2016 02:54:06 GMT-0400 (EDT),837.855.0172 x67060,818.396.5508,vip
Garret,Hegmann,Madyson12@fakehotmail.com,,(080) 523-0551 x91320,,vip
Cara,Kautzer,,Tue Feb 21 2017 14:49:31 GMT-0500 (EST),,(244) 488-5828,regular
,,Trey.Cronin@fakeyahoo.com,,435.430.2979,113-181-7540 x99138,regular
Haylee,Ward,Shaun.Keebler@fakehotmail.com,,1-384-249-2513,,vip
Ignacio,Marks,Kaylee.Harvey0@fakehotmail.com,Mon Feb 13 2017 03:17:26 GMT-0500 (EST),494-943-3289 x9959,650.291.5390 x4958,customer
Gilda,Emard,Orin7@fakehotmail.com,Wed May 25 2016 11:42:11 GMT-0400 (EDT),819.215.2369 x3844,402-647-8061,regular
Reece,Wyman,Kaylie.Bogisich83@fakeyahoo.com,,072.583.4845 x292,,regular
Keon,Hickle,Agustin.Friesen@fakehotmail.com,,,1-876-701-2289 x6567,vip
Olga,McGlynn,Rosina46@fakeyahoo.com,Wed Feb 22 2017 10:59:20 GMT-0500 (EST),(589) 701-5106 x85782,555-525-6412,
Delbert,Kohler,Sanford_Jacobson@fakeyahoo.com,Fri Nov 18 2016 19:30:24 GMT-0500 (EST),(658) 561-6172,311-507-6433 x52811,
Viva,Swaniawski,Juanita64@fakehotmail.com,Wed Apr 20 2016 09:06:10 GMT-0400 (EDT),(506) 961-7407 x850,(530) 666-5845,vip
Edgar,Grant,Nickolas9@fakehotmail.com,Mon Sep 12 2016 20:43:46 GMT-0400 (EDT),1-548-844-5016 x8930,1-843-524-3802,regular
,,Juliet_Smitham78@fakegmail.com,Sun Apr 24 2016 22:57:35 GMT-0400 (EDT),873-450-2749,1-152-228-0051 x70275,customer
Lavonne,,Cassandre_Hand28@fakegmail.com,Fri Jun 17 2016 20:34:57 GMT-0400 (EDT),029-555-7391 x0215,(822) 555-7010,regular
Regan,Luettgen,Anais36@fakehotmail.com,Mon Aug 29 2016 15:00:11 GMT-0400 (EDT),1-458-555-5440 x78064,1-525-555-9236,customer
